"ID" "CustomerID" "ReceivedAt" "DeviceReportedTime" "Facility" "Priority" "FromHost" "Message" "NTSeverity" "Importance" "EventSource" "EventUser" "EventCategory" "EventID" "EventBinaryData" "MaxAvailable" "CurrUsage" "MinUsage" "MaxUsage" "InfoUnitID" "SysLogTag" "EventLogType" "GenericFileName" "SystemID" "processid" "checksum"
"65" 49841443 NA "2015-12-09 00:00:42" "2015-12-09 00:00:41" 20 4 "sc041" " 00:00:41.431 25098 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"66" 49841450 NA "2015-12-09 00:00:42" "2015-12-09 00:00:41" 20 4 "sc041" " 00:00:41.783 25098 AUDIT nova.compute.resource_tracker [-] Free ram (MB): -1172" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"67" 49841451 NA "2015-12-09 00:00:42" "2015-12-09 00:00:41" 20 4 "sc041" " 00:00:41.784 25098 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 700" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"68" 49841452 NA "2015-12-09 00:00:42" "2015-12-09 00:00:41" 20 4 "sc041" " 00:00:41.784 25098 AUDIT nova.compute.resource_tracker [-] Free VCPUS: -8" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"69" 49841455 NA "2015-12-09 00:00:43" "2015-12-09 00:00:51" 20 4 "KR-02" " 00:00:51.145 17059 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"70" 49841460 NA "2015-12-09 00:00:43" "2015-12-09 00:00:51" 20 4 "KR-02" " 00:00:51.766 17059 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 112510" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"71" 49841461 NA "2015-12-09 00:00:43" "2015-12-09 00:00:51" 20 4 "KR-02" " 00:00:51.767 17059 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 1307" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"72" 49841462 NA "2015-12-09 00:00:43" "2015-12-09 00:00:51" 20 4 "KR-02" " 00:00:51.767 17059 AUDIT nova.compute.resource_tracker [-] Free VCPUS: -12" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"73" 49841480 NA "2015-12-09 00:00:49" "2015-12-09 00:00:37" 20 4 "ucs04" " 00:00:37.504 10006 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"74" 49841482 NA "2015-12-09 00:00:49" "2015-12-09 00:00:47" 20 4 "KR-08" " 00:00:47.205 40573 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"75" 49841483 NA "2015-12-09 00:00:49" "2015-12-09 00:00:37" 20 4 "ucs04" " 00:00:37.947 10006 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 27593" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"76" 49841484 NA "2015-12-09 00:00:49" "2015-12-09 00:00:37" 20 4 "ucs04" " 00:00:37.948 10006 AUDIT nova.compute.resource_tracker [-] Free disk (GB): -307" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"77" 49841485 NA "2015-12-09 00:00:49" "2015-12-09 00:00:37" 20 4 "ucs04" " 00:00:37.948 10006 AUDIT nova.compute.resource_tracker [-] Free VCPUS: -6" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"78" 49841487 NA "2015-12-09 00:00:50" "2015-12-09 00:00:47" 20 4 "KR-08" " 00:00:47.889 40573 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 112575" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"79" 49841488 NA "2015-12-09 00:00:50" "2015-12-09 00:00:47" 20 4 "KR-08" " 00:00:47.890 40573 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 957" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"80" 49841489 NA "2015-12-09 00:00:50" "2015-12-09 00:00:47" 20 4 "KR-08" " 00:00:47.891 40573 AUDIT nova.compute.resource_tracker [-] Free VCPUS: -12" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"81" 49841499 NA "2015-12-09 00:00:53" "2015-12-09 00:00:56" 20 4 "ce014" " 00:00:56.143 3609 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"82" 49841500 NA "2015-12-09 00:00:54" "2015-12-09 00:00:56" 20 4 "ce014" " 00:00:56.331 3609 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 23508" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"83" 49841501 NA "2015-12-09 00:00:54" "2015-12-09 00:00:56" 20 4 "ce014" " 00:00:56.332 3609 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 915" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
